id,english,spanish,category
1,bag,bolsa,Ropa y accesorios
2,clothes,ropa,Ropa y accesorios
3,dress,vestido,Ropa y accesorios
4,glasses,gafas,Ropa y accesorios
5,handbag,bolso,Ropa y accesorios
6,hat,sombrero,Ropa y accesorios
7,jacket,chaqueta,Ropa y accesorios
8,jeans,vaqueros,Ropa y accesorios
9,baseball cap,gorra,Ropa y accesorios
10,shorts,pantalones cortos,Ropa y accesorios
11,shirt,camisa,Ropa y accesorios
12,shoe,zapato,Ropa y accesorios
13,skirt,falda,Ropa y accesorios
14,sock,calcetines,Ropa y accesorios
15,trousers,pantalón,Ropa y accesorios
16,t-shirt,camiseta,Ropa y accesorios
17,watch,reloj,Ropa y accesorios
18,wear,llevar,Ropa y accesorios
19,boots,botas,Ropa y accesorios
20,black,negro,Colores
21,blue,azul,Colores
22,brown,marrón,Colores
23,colour,color,Colores
24,green,verde,Colores
25,grey,gris,Colores
26,orange,naranja,Colores
27,pink,rosa,Colores
28,purple,morado,Colores
29,red,rojo,Colores
30,white,blanco,Colores
31,yellow,amarillo,Colores
32,dog,perro,Animales
33,cat,gato,Animales
34,bird,pájaro,Animales
35,fish,pez,Animales
36,rabbit,conejo,Animales
37,horse,caballo,Animales
38,cow,vaca,Animales
39,pig,cerdo,Animales
40,elephant,elefante,Animales
41,apple,manzana,Comida
42,banana,plátano,Comida
43,orange,naranja,Comida
44,bread,pan,Comida
45,milk,leche,Comida
46,water,agua,Comida
47,juice,zumo,Comida
48,cake,pastel,Comida
49,ice cream,helado,Comida
50,chocolate,chocolate,Comida
51,one,uno,Números
52,two,dos,Números
53,three,tres,Números
54,four,cuatro,Números
55,five,cinco,Números
56,six,seis,Números
57,seven,siete,Números
58,eight,ocho,Números
59,nine,nueve,Números
60,ten,diez,Números
61,eleven,once,Números
62,twelve,doce,Números
63,thirteen,trece,Números
64,fourteen,catorce,Números
65,fifteen,quince,Números
66,sixteen,dieciséis,Números
67,seventeen,diecisiete,Números
68,eighteen,dieciocho,Números
69,nineteen,diecinueve,Números
70,twenty,veinte,Números
71,behind,detrás,Lugares
72,between,entre,Lugares
73,bookshop,librería,Lugares
74,here,aquí,Lugares
75,in,en,Lugares
76,in front of,delante,Lugares
77,next to,junto,Lugares
78,on,en,Lugares
79,park,parque,Lugares
80,playground,patio de recreo,Lugares
81,shop,tienda,Lugares
82,store,tienda,Lugares
83,street,calle,Lugares
84,there,allí,Lugares
85,under,debajo,Lugares
86,zoo,zoo,Lugares
87,afternoon,tarde,Tiempo
88,birthday,cumpleaños,Tiempo
89,clock,reloj,Tiempo
90,day,día,Tiempo
91,end,fin,Tiempo
92,evening,noche,Tiempo
93,morning,mañana,Tiempo
94,night,noche,Tiempo
95,today,hoy,Tiempo
96,watch,reloj,Tiempo
97,year,año,Tiempo
98,beach,playa,El mundo
99,sand,arena,El mundo
100,sea,mar,El mundo
101,shell,concha,El mundo
102,sun,sol,El mundo
103,tree,árbol,El mundo
104,water,agua,El mundo
105,bike,bicicleta,Transporte
106,boat,barco,Transporte
107,bus,autobús,Transporte
108,car,coche,Transporte
109,drive,conducir,Transporte
110,fly,volar,Transporte
111,go,ir,Transporte
112,helicopter,helicóptero,Transporte
113,ship,barco,Transporte
114,lorry,camión,Transporte
115,motorbike,moto,Transporte
116,plane,avión,Transporte
117,ride,montar,Transporte
118,run,correr,Transporte
119,swim,nadar,Transporte
120,train,tren,Transporte
121,truck,camión,Transporte
122,badminton,bádminton,Deportes y ocio
123,ball,pelota,Deportes y ocio
124,baseball,béisbol,Deportes y ocio
125,basketball,baloncesto,Deportes y ocio
126,beach,playa,Deportes y ocio
127,bike,bicicleta,Deportes y ocio
128,boat,barco,Deportes y ocio
129,book,libro,Deportes y ocio
130,bounce,rebotar,Deportes y ocio
131,camera,cámara,Deportes y ocio
132,catch,atrapar,Deportes y ocio
133,doll,muñeca,Deportes y ocio
134,draw,dibujar,Deportes y ocio
135,drive,conducir,Deportes y ocio
136,enjoy,disfrutar,Deportes y ocio
137,favourite,favorito,Deportes y ocio
138,fishing,pesca,Deportes y ocio
139,fly,volar,Deportes y ocio
140,football,fútbol,Deportes y ocio
141,game,juego,Deportes y ocio
142,guitar,guitarra,Deportes y ocio
143,hit,golpear,Deportes y ocio
144,hobby,pasatiempo,Deportes y ocio
145,hockey,hockey,Deportes y ocio
146,jump,saltar,Deportes y ocio
147,kick,patear,Deportes y ocio
148,kite,cometa,Deportes y ocio
149,listen,escuchar,Deportes y ocio
150,music,música,Deportes y ocio
151,paint,pintar,Deportes y ocio
152,photo,foto,Deportes y ocio
153,piano,piano,Deportes y ocio
154,picture,imagen,Deportes y ocio
155,play,jugar,Deportes y ocio
156,radio,radio,Deportes y ocio
157,read,leer,Deportes y ocio
158,ride,montar,Deportes y ocio
159,run,correr,Deportes y ocio
160,sing,cantar,Deportes y ocio
161,soccer,fútbol,Deportes y ocio
162,song,canción,Deportes y ocio
163,sport,deporte,Deportes y ocio
164,story,cuento,Deportes y ocio
165,swim,nadar,Deportes y ocio
166,table tennis,ping pong,Deportes y ocio
167,take a photo,tomar una foto,Deportes y ocio
168,television,televisión,Deportes y ocio
169,tennis,tenis,Deportes y ocio
170,throw,lanzar,Deportes y ocio
171,toy,juguete,Deportes y ocio
172,walk,caminar,Deportes y ocio
173,watch,mirar,Deportes y ocio
174,skateboard,monopatín,Deportes y ocio
175,tennis racket,raqueta de tenis,Deportes y ocio
176,board game,juego de mesa,Deportes y ocio
177,skateboarding,patinaje,Deportes y ocio
178,scary,aterrador,Deportes y ocio
179,silly,tonto,Deportes y ocio
180,alien,extraterrestre,Juguetes
181,ball,pelota,Juguetes
182,balloon,globo,Juguetes
183,baseball,béisbol,Juguetes
184,basketball,baloncesto,Juguetes
185,bike,bicicleta,Juguetes
186,boat,barco,Juguetes
187,car,coche,Juguetes
188,doll,muñeca,Juguetes
189,football,balón de fútbol,Juguetes
190,game,juego,Juguetes
191,helicopter,helicóptero,Juguetes
192,kite,cometa,Juguetes
193,lorry,camión,Juguetes
194,monster,monstruo,Juguetes
195,plane,avión,Juguetes
196,robot,robot,Juguetes
197,soccer,fútbol,Juguetes
198,toy,juguete,Juguetes
199,train,tren,Juguetes
200,truck,camión,Juguetes
201,teddy bear,osito de peluche,Juguetes
202,alphabet,alfabeto,Escuela
203,answer,respuesta,Escuela
204,ask,preguntar,Escuela
205,board,pizarra,Escuela
206,book,libro,Escuela
207,bookcase,estantería,Escuela
208,class,clase,Escuela
209,classroom,aula,Escuela
210,close,cerrar,Escuela
211,colour,color,Escuela
212,computer,ordenador,Escuela
213,correct,correcto,Escuela
214,cross,cruz,Escuela
215,cupboard,armario,Escuela
216,desk,escritorio,Escuela
217,door,puerta,Escuela
218,draw,dibujar,Escuela
219,English,inglés,Escuela
220,eraser,goma de borrar,Escuela
221,example,ejemplo,Escuela
222,find,encontrar,Escuela
223,floor,suelo,Escuela
224,keyboard,teclado,Escuela
225,know,saber,Escuela
